sku,name,brand,price,color,frame,material,measure,sunglasses,woman
VO5317,TakeaChance,Vogue,145.00,Rosso,Cat-eye,Acetato,49-17-135,false,true
VO5375,VO5375,Vogue,145.00,Havana,Cat-eye,Acetato,49-17-135,false,true
VO4226,VO4226,Vogue,105.00,Argento,Rotonda,Metallo,55-17-135,false,true
VO5371,VO5371,Vogue,105.00,Nero,Rettangolare,Acetato,50-18-145,false,true
VO5367,VO5367,Vogue,105.00,Blu,Rotonda,Acetato,50-20-145,false,true
VO5236BM,VO5236BM,Vogue,145.00,Nero,Cat-eye,Acetato,53-17-140,false,true
VO5316,BeYou,Vogue,145.00,Havana,Rettangolare,Acetato,50-20-145,false,true
VO5414SR,Milan,Vogue,99.00,Rosa,Rettangolare,Acetato,51-18-135,true,true
VO5414SH,Milan,Vogue,99.00,Havana,Rettangolare,Acetato,51-18-135,true,true
VO4180S,VO4180S,Vogue,114.00,Argento,Ottagonale,Metallo,54-18-135,true,true
